PG.ProteinGroups,PG.Genes,PG.ProteinNames,CONT_1,CONT_2,CONT_3,CONT_4,CONT_5,CONT_6,STIM_1,STIM_2,STIM_3,STIM_4,STIM_5,STIM_6
P00001,GAPDH,Glyceraldehyde-3-phosphate dehydrogenase,3649.0,3541.3,4087.2,3669.7,3348.4,3668.4,3444.4,3628.1,3989.7,3214.0,3152.7,3771.4
P00002,ACTB,Actin cytoplasmic 1,4232.6,3619.1,3032.7,3491.9,3253.1,3633.0,3953.0,3420.9,3149.6,3308.4,4025.4,4028.6
P00003,HSPA1A,Heat shock 70 kDa protein 1A,2613.9,2516.0,2133.2,2265.3,2213.5,2341.7,2630.7,2855.1,2369.7,2129.1,2229.2,2413.8
P00004,TUBB,Tubulin beta chain,1775.7,1998.2,1616.2,1488.2,1617.9,1381.6,1506.6,1494.1,1630.3,1761.7,1726.4,1734.9
P00005,ENO1,Alpha-enolase,1844.1,1655.6,1676.8,1538.6,1740.8,1629.8,1804.1,1607.9,1743.6,1794.1,1640.3,1786.9
P00006,PKM,Pyruvate kinase PKM,827.4,783.1,788.0,776.6,767.2,648.8,685.7,724.5,708.3,884.7,740.5,857.5
P00007,LDHA,L-lactate dehydrogenase A chain,2904.0,3219.0,3440.5,3138.1,3672.4,3173.2,7828.7,8203.9,7967.0,7501.2,9103.3,8116.9
P00008,ALDOA,Fructose-bisphosphate aldolase A,1183.5,1030.5,910.0,903.6,712.8,1027.0,881.7,1173.8,1035.0,896.8,852.1,1103.5
P00009,VIM,Vimentin,2796.2,2552.8,2322.2,2007.2,2445.3,2065.2,2596.4,2353.9,2388.6,2802.0,2574.7,2245.1
P00010,TMSB4X,Thymosin beta-4,1257.2,1287.3,1288.1,1179.4,1511.1,1395.7,1583.5,1460.1,1385.8,1285.9,1353.8,1528.1
P00011,MYH9,Myosin-9,2742.8,2971.1,2308.5,2152.4,2436.8,2821.4,2905.2,2462.1,2435.4,2299.7,2196.4,2886.3
P00012,ACTN1,Alpha-actinin-1,2498.7,1989.3,1851.7,1967.6,2231.8,2107.1,838.2,1024.6,814.5,1000.4,1016.7,776.0
P00013,FLNA,Filamin-A,1966.1,2153.0,2165.9,2109.8,2292.7,2202.1,2489.0,2022.9,2887.9,2226.8,2299.0,1897.1
P00014,TLN1,Talin-1,2673.7,3083.0,2978.0,2910.6,3235.7,2998.9,3018.2,3137.3,3269.4,3502.5,2948.0,3354.6
P00015,VCL,Vinculin,3546.9,4289.8,3582.7,4071.0,3497.2,4078.3,3855.5,4518.4,3906.9,4523.8,4110.9,3937.7
P00016,PFN1,Profilin-1,2570.5,2801.3,2054.9,2744.3,2082.2,2436.1,2199.4,2111.4,2268.9,2090.4,2846.8,2356.4
P00017,CFL1,Cofilin-1,3947.1,4282.0,4165.8,3309.0,4156.6,4174.6,3964.2,4247.5,4284.9,4429.0,3670.4,3178.6
P00018,GSN,Gelsolin,3061.8,3319.4,3682.8,3700.2,4595.2,4206.9,3601.9,3269.0,4118.2,3308.4,4232.4,3839.7
P00019,CAPZA1,F-actin-capping protein subunit alpha-1,1263.2,1077.5,1040.2,1223.4,1207.4,1096.1,2233.9,2104.6,2117.5,2275.0,2015.4,2163.3
P00020,ARPC2,Actin-related protein 2/3 complex subunit 2,716.1,592.8,716.5,578.2,572.9,628.2,539.2,634.5,653.1,558.4,694.3,587.9
P00021,RAC1,Ras-related C3 botulinum toxin substrate 1,1860.9,1398.0,1681.2,1536.7,1670.0,1529.9,1825.0,1819.8,1625.8,1824.8,1621.8,1562.2
P00022,RHOA,Transforming protein RhoA,1453.0,1484.2,1549.6,1150.1,1489.5,1477.8,1441.7,1601.2,1370.7,1180.2,1565.9,1304.1
P00023,CDH1,Cadherin-1,983.7,847.3,861.1,1005.1,1079.5,882.3,932.5,914.1,1012.2,1240.9,1112.6,849.4
P00024,ITGB1,Integrin beta-1,2260.4,2031.0,2138.7,2094.6,2072.9,2251.3,2238.2,1602.8,2035.1,2252.8,2023.6,1984.6
