PG.ProteinGroups,PG.Genes,PG.ProteinNames,CTRL_1,CTRL_2,CTRL_3,TRT_1,TRT_2,TRT_3,CTRL_4,TRT_4
P00001,GAPDH,Glyceraldehyde-3-phosphate dehydrogenase,1024.5,987.2,1105.1,1520.4,1478.9,1610.2,1010.8,1490.7
P00002,ACTB,Actin cytoplasmic 1,2450.1,2380.7,2510.3,2390.5,2420.8,2470.1,2405.2,2388.4
P00003,HSPA1A,Heat shock 70 kDa protein 1A,320.4,298.7,,610.2,588.4,655.1,305.9,601.3
P00004,TUBA1B,Tubulin alpha-1B chain,1875.3,1902.6,1840.9,1650.2,1620.7,1680.4,1880.1,1660.9
P00005,VIM,Vimentin,540.8,562.1,528.4,1420.6,1388.2,1455.9,551.3,1402.5
P00006,ENO1,Alpha-enolase,890.2,912.5,875.8,880.4,905.6,868.9,898.7,872.1
P00007,PKM,Pyruvate kinase PKM,1205.6,1180.3,1230.9,1198.4,1210.7,1225.2,1195.1,1203.8
P00008,LDHA,L-lactate dehydrogenase A chain,760.4,742.8,,980.5,1010.2,995.7,751.9,988.3
P00009,ANXA2,Annexin A2,430.9,455.2,442.7,595.1,610.8,588.4,448.3,601.9
P00010,MYH9,Myosin-9,310.5,295.8,322.1,1280.4,1255.9,1310.7,305.2,1268.5
P00011,RPLP1,60S acidic ribosomal protein P1,1520.7,1498.3,1545.9,,,1520.4,1512.8,
P00012,TPI1,Triosephosphate isomerase,660.2,678.5,651.9,665.8,690.1,672.4,670.3,668.5
